country,avg_life_expectancy,avg_GDP
Switzerland,82.3,57363.1
Luxembourg,80.8,53257.1
Qatar,77,40748.6
Netherlands,81.1,34964.8
Australia,81.8,34637.6
Ireland,80.2,33835.3
Austria,81.5,33827.5
Denmark,79.3,33067.6
Singapore,81.5,32790.3
Kuwait,73.8,31914.4
Iceland,82.4,30159.4
Canada,81.7,29383.1
Sweden,82.5,29334.9
Norway,81.8,27435.1
France,82.2,26465.6
Finland,80.7,25268.6
Japan,82.5,24892.6
Germany,81.2,24337.8
"United Arab Emirates",75.7,22110.4
Italy,82.2,21234.8
"Brunei Darussalam",76.5,19744.8
Israel,81.3,18860.4
Spain,82.1,17093.6
Belgium,80.7,16915.4
Greece,81.2,16454.3
"New Zealand",81.3,14775.6
Cyprus,79.7,13899.1
Barbados,74.4,12017.2
Portugal,80,11598.7
Slovenia,79.7,11441.1
Bahrain,75.7,11191.2
"Saudi Arabia",73.5,10689.1
Malta,80.4,10115.0
"Antigua and Barbuda",75.1,9759.3
Croatia,76.1,9056.9
Lithuania,72.8,9007.5
Hungary,73.8,8513.8
Estonia,74.9,8340.5
Latvia,73.7,7951.9
"Equatorial Guinea",55.3,7902.4
"Trinidad and Tobago",71.1,7741.9
Oman,74.8,7621.3
Uruguay,76.1,7192.6
Argentina,75.2,6998.6
Poland,75.6,6792.6
"Russian Federation",67.8,6545.2
Seychelles,72.4,6496.4
Grenada,73.3,6259.7
Chile,79.4,6202.3
Brazil,73.4,6143.3
Panama,76.5,5417.8
Mauritius,72.7,5299.6
Mexico,75.7,5179.4
Gabon,62.2,5179.3
Bulgaria,72.8,4939.1
Malaysia,73.8,4905.0
"South Africa",57.5,4869.6
Suriname,70.1,4781.3
Lebanon,74.2,4696.3
Montenegro,74.5,4676.5
Botswana,56,4498.4
Romania,74.1,4258.9
Kazakhstan,66.8,4040.6
Turkey,73.9,3984.1
"Costa Rica",78.6,3957.2
Belize,69.3,3933.0
Maldives,75.5,3818.4
Belarus,69.9,3811.4
Serbia,74,3674.5
"Dominican Republic",72.3,3509.7
Thailand,73.1,3494.9
Libya,72.5,3448.8
Colombia,73.3,3321.7
Azerbaijan,70.7,3302.9
Cuba,78,3180.5
Tunisia,74.4,3044.3
Namibia,60.4,3042.6
Fiji,68.7,2947.8
Peru,73.7,2928.6
Algeria,73.6,2847.8
Iraq,70.4,2656.9
"El Salvador",71.7,2517.9
Turkmenistan,64.6,2511.7
Jamaica,74.3,2509.6
Guatemala,71.7,2366.0
China,74.3,2345.3
"Bosnia and Herzegovina",76,2245.1
Swaziland,51.3,2165.2
Georgia,73.5,2158.4
Samoa,73.6,2121.7
Albania,75.2,2119.8
"Cabo Verde",72.5,2023.6
Ecuador,74.7,2005.4
Vanuatu,71.4,2000.3
Armenia,73.4,2000.0
Mongolia,65.9,1984.8
Paraguay,73.1,1983.5
Tonga,72.5,1981.6
Angola,49,1975.2
Morocco,72.2,1936.5
Jordan,73,1822.6
Guyana,65.6,1784.1
Indonesia,67.6,1669.3
Ukraine,69.9,1577.4
Honduras,73,1422.0
Philippines,67.6,1397.3
Nigeria,51.4,1360.3
Bhutan,66.2,1354.2
Sudan,61.8,1193.0
Kiribati,65.1,1175.4
"Sri Lanka",73.4,1040.3
Nicaragua,73.4,958.0
Djibouti,60.8,898.1
India,65.4,837.9
Ghana,60.9,834.4
Zambia,53.9,811.8
"Solomon Islands",67.7,802.0
Lesotho,48.8,794.6
Cameroon,54,781.0
"Sao Tome and Principe",65.2,722.9
Kenya,57.5,716.8
"Papua New Guinea",61.7,710.8
Pakistan,64.5,666.1
Uzbekistan,68,651.1
Mauritania,62.8,635.1
Comoros,61.6,630.4
Myanmar,64.2,616.3
Benin,57.6,561.3
Timor-Leste,64.8,551.9
"South Sudan",53.9,546.2
"Syrian Arab Republic",70.8,543.7
Mali,54.9,530.6
Chad,50.4,484.9
Cambodia,64.3,466.3
Bangladesh,69.3,443.8
Haiti,59.9,434.4
Uganda,55.7,421.1
Zimbabwe,50.5,411.1
"Burkina Faso",55.6,410.5
Nepal,66.5,395.4
Guinea-Bissau,55.4,384.4
Mozambique,53.4,365.1
"Central African Republic",48.5,363.0
Afghanistan,58.2,340.1
Tajikistan,66.7,335.8
Togo,56.7,317.1
Madagascar,62.7,314.2
Rwanda,59.3,300.1
Guinea,56,279.5
Senegal,62.6,274.7
"Sierra Leone",46.1,271.6
Ethiopia,59.1,265.0
Niger,57,259.9
Liberia,57.5,246.3
Malawi,49.9,237.6
Eritrea,60.7,194.6
Burundi,55.5,137.9
Somalia,53.3,55.8
